<new sheet>
sheet_name: 2.06(Base period 1997-100)
,2.06 Trade Indices - Monthly (2006 -2010),,,,,,,,,,,,,, 
,             September,116.28683204183667,175.24966182925132,149.0370942893251,123.13814347601266,98.61726943977824,115.12586349082798,173.98250057478083,109.97117438514816,108.05194432451694,151.89380673463066,116.37270992837168,,,,
,             October,124.27152071971146,177.35246879346028,174.08631365151345,128.11055992621286,104.16941621737081,104.26146153082071,205.15543548545008,121.91782652301085,111.207462009871,106.6147373010468,120.60384130756181,,,,
,             November,122.51697875267794,182.8067644383806,160.8202541728905,131.13655522777103,102.78103003542462,66.27343121414341,169.96795876651868,135.74353574633804,105.9573822353304,114.47893723550918,121.30410229206089,,,,
,             December,137.75273477884616,296.31686244585944,174.80334945267,142.8573056307318,111.70736488363843,89.42495812286931,173.06323853231285,143.70049707236925,110.74775103468784,95.4471920395232,130.81167022107383,,,,

,2012     January,132.13993131472864,209.91527214270604,169.86515671590826,139.50829042688488,87.26005324594857,97.55530591960567,142.1075036905128,107.08351881435559,95.16438823107617,129.1941084880162,124.52789479894992,,,,
,             February,126.67993318774737,190.8873413560509,168.057197194117,128.77209249009874,90.83326995932593,126.69845140740644,140.46888655595748,108.03988134253335,100.03274918736336,211.4789765161387,118.47859027686509,,,,
,             March,130.31317605335914,245.28305054967328,192.92846599049372,140.7743340473909,117.22280810288628,169.35513879921928,161.11308539563433,123.96150638816587,120.58636144838408,424.0915240434932,133.02123546253867,,,,
,             April,131.6037603335142,172.98029933485947,150.8414309196278,125.49725385077208,99.74589570066188,106.28443559201696,132.4683908882405,134.88559232828334,104.9469599475157,558.2725375631417,118.43245535650308,,,,
,             May,127.86541236617244,164.33401025306583,182.45977332723027,133.1462532340582,133.26048877672025,68.8596441466545,170.35422919973777,135.51616630144494,126.53276605375916,127.83296073791799,128.35652194214512,,,,
,             June,129.8027479337132,194.425584302493,161.12576524690536,132.1613036325477,98.64540489109457,47.957065694654716,149.66946685141255,148.63151641132242,108.34736520539775,139.80926225676916,122.84674838954895,,,,
,             July,137.9958072537018,215.3847734761212,175.02061083069702,138.5469491719236,110.52571357372324,36.62226642071109,135.6029947659254,152.94279809330675,117.65663578294219,160.41175081751717,129.9376838141185,,,,
,             August,149.98300251636007,204.75624326529896,212.75077354376026,149.78825141217365,93.14404370156639,46.84305599262975,132.15590246228228,91.9856306472418,106.57820224821,134.43216257956587,134.7593533252744,,,,
,             September,126.35981544252279,201.4229727642384,143.82021611644723,130.20466775150217,137.09213784240524,73.67560559174582,159.5065627614532,168.34951822537414,136.8014521943285,468.9958479028758,130.0235549467205,,,,
,             October,121.42496213482595,221.7975883521798,154.87344875459027,129.54162354110323,110.37435648688441,64.46872587994547,130.6384544779074,82.94202162835973,111.47844787036003,345.59043416284436,122.43610969414229,,,,
,             November,150.08489654587265,168.4431482605572,187.53123313202988,143.70081325532766,121.04667732184623,58.19954162392486,124.32820534484001,75.68492832446469,114.13644012551413,212.17745768759792,132.77781405997845,,,,
,             December,145.32701858879577,185.34212117345672,187.7045168748599,143.92914280185983,130.84832745601108,67.25121322256682,125.57951743213262,111.78679272092351,128.47230048729767,519.8370680585858,137.6044278845594,,,,

,2013    January,134.03212761381334,207.959780385617,151.78843616104362,123.69686118049023,94.47125798409039,62.67878507585558,79.51111303848495,89.80961002097418,97.56445991660956,56.96288971161563,113.78341976742774,,,,
,             February,149.0125646534691,142.52681724370967,159.59804283482688,137.08945401913792,96.60435870460144,64.4677567113661,118.99028177408002,109.25214601068797,101.77842935774598,75.15402578471773,124.41531689917412,,,,
,             March,138.2487611197505,199.4127930003938,176.66130534604048,136.86668505169473,120.69140415870481,57.826942820838894,123.4222091342759,145.35341581190715,122.4129862896115,91.86418390703666,129.8830404126365,,,,
,             April,109.67586963760135,227.0517401904023,139.91444975694793,113.72649689381235,98.8324059374006,43.67025503381131,118.82103264134086,109.63072945129636,101.91525337029182,106.36324823887797,108.05998277382665,,,,
,             May,127.4692002432631,250.66221248471766,163.86179895159725,130.442247584847,119.32143273286954,32.00971822485785,127.54797935285526,125.99270465747365,115.11078215339957,131.35574115201263,123.42973351932113,,,,
,             June,144.3699780465162,140.96951974796704,168.0399918676913,136.06856830621248,109.31997199813043,29.921830705907414,121.96523529226043,181.36036550972636,113.32447124740793,175.59445758854088,127.05772468968615,,,,
,             July,154.42649113271312,159.25707286628682,169.63550929053403,141.9845408478207,130.94031334085372,30.18796045101569,149.5176384098728,232.82533103080954,141.08458857205017,128.67376264558357,138.57792309769746,,,,
,             August,152.88483835982512,256.4858340719508,195.27679531799228,153.63342594661353,138.80732440210508,43.237903255521864,158.22123245932355,190.21230219817093,149.97652152156394,98.73966299045487,149.07258073767898,,,,
,             September,162.19279386366594,163.0172268335921,185.00969644228212,149.15880191530516,136.991041424011,45.245244310074206,161.92852260208898,174.1114278649553,145.7122233867998,734.2193597271702,146.6006214137835,,,,
,             October,181.0485153573805,159.78036387245317,236.1017010835079,176.2527818040844,141.87133509507814,46.506658277387196,193.8759369589877,209.0774220099817,155.55576834373775,618.5602256046966,168.04500935538888,,,,
,             November,203.85056154280483,151.30882779441018,208.65857025163007,177.1826233135963,139.24173103892142,44.40728481764768,174.59279503151373,186.04001447257096,147.23746880023333,631.7231638985154,166.49576324212782,,,,
,             December,187.94450807630773,164.41787026190516,234.10993974005746,169.3125349575475,143.09095228109985,63.30396021759584,168.8163533707421,196.4893775647752,145.86005891382354,98.26498216689286,159.06006874992914,,,,

,2014     January,170.4359457526446,174.94797945762897,182.44903474380374,158.8660090478759,111.8790475885073,67.64986203174513,188.71605843831705,206.9915339078434,122.29628443471911,120.74275402131765,145.4605986103383,,,,
,             February,164.02706154750865,155.59726049509524,175.2053055196101,145.39670110938744,111.44433241739704,47.1685722870571,196.93098512303544,253.6662180041525,121.16312349692156,119.547746005352,135.64810076345114,,,,
,             March,188.78951496597418,175.85208492356486,201.71840805741715,177.23394871024823,149.5570081251896,40.427608729528075,263.09380994683465,281.06045060333696,154.37928964311254,1909.497387239336,172.071173686176,,,,
,             April,139.22177420332957,169.70522005672012,144.14693305944084,127.78804576677013,112.47977981775631,37.35905737503223,204.52863923266855,234.4621646390415,120.12144531880135,110.45665451906146,122.88584569948596,,,,
,             May,150.7378366328628,155.42969320418297,194.0208664532017,145.46508920206324,135.21555020896906,26.11689312639978,252.00801478727135,275.31955272010265,144.06490165426388,157.73551160166875,141.8818823175106,,,,
,             June,183.95755183229457,138.92578091998342,190.3244438408925,164.65521899681522,146.58006389195035,23.27545282922975,268.5440071783543,258.9186427459106,153.63714444759185,168.26692448087093,158.08430442437754,,,,
,             July,170.83083300579958,147.9482676298609,197.91431504265285,159.04511016811497,141.2732612467232,21.804718060127843,288.9931639386026,260.8184622173615,151.23980757614578,143.60925842400323,153.36862111781195,,,,
,             August,176.59005373044474,132.919057121533,204.52254317225766,170.02549189050933,133.27910590526298,23.471975200391743,292.31016462719936,246.86982663278036,143.5234010476287,142.64829157116813,159.0765643060998,,,,
,             September,166.44530104379115,102.03136624118797,175.0673264790112,151.47749648869674,128.30643583852344,18.12888606602997,279.11343580442383,204.65591491339643,139.09776045664205,115.49408274606311,144.76623413655233,,,,
,             October,164.6710044465982,139.9539060998704,193.66114104923756,151.71135881445386,129.27512885604995,20.05336964202213,292.5231423020482,258.2581810365768,138.9328194866793,135.0589847713729,144.98225079048015,,,,
,             November,174.32754231229626,157.67684401143546,173.70947489813852,156.0710423784735,132.78420937900978,14.824880003830865,231.25490332477744,314.1690286410014,140.54619124347067,139.77619659967706,148.47219476727355,,,,
,             December,187.03563927890923,128.4944642154739,182.18825879976754,171.69026298998065,134.98173823137358,22.291343707859998,222.5536782448208,411.8074123282604,150.43128337664572,139.14384718054924,162.1077760550459,,,,

,2015       January,170.6292776884949,324.9022710660523,160.97814446403638,163.74540708308797,110.06841747526106,19.374346748781008,162.0599355013487,244.96334371185335,122.33281234144434,163.9620096352125,149.05193358709042,,,,
,               February,176.37066525901463,222.56777247889514,170.7652075577286,161.7151081706487,106.05985002015288,20.536444163906136,261.5607969384009,278.6343138833457,123.97392900502169,222.4543534691169,148.2311598925451,,,,
,               March,180.0992846546023,134.2528335847644,192.84075416175125,196.6121661606023,111.11152730446578,19.832382045992905,273.9027085056254,335.2423200221763,131.00537697908663,193.18231355871208,174.73547354572733,,,,
,               April,138.86130745514308,121.30964662612756,122.83939266169158,123.04705435584712,99.95634611992632,19.404796439476385,232.20673664739908,234.17520920166672,111.42661656770393,128.85215954850716,117.29066929327962,,,,
,               May,165.99856974612206,135.89088147069364,193.98601576354935,154.6252531099687,121.61520699181148,18.03498445370541,281.090051998536,317.82050562578746,133.34687716203058,169.21268017628273,145.6083142286116,,,,
,               June,179.8073016994505,260.6867756611818,167.30238450338794,166.86026898319025,120.36131588866795,18.50231596150905,273.8342690461417,252.9212126092738,139.7769450414794,137.69640238995382,155.84737552688807,,,,
,               July,174.7919815217106,215.91538949832025,183.07199123365393,160.1038584499693,124.67377640652816,15.474242869785305,294.1344430500491,285.1878099041841,151.01481769328694,184.90143078782032,154.2165328968246,,,,
,               August,169.5344021360095,136.38488999814538,140.65102952978768,144.9561709965968,90.56440013127464,14.010960966610286,252.8490142074513,161.29296966506223,109.57747278041631,105.554565152138,132.19078514604564,,,,
,               September,180.73048091432028,99.01965160630641,155.0789194000167,154.8536830697789,108.82636473921319,18.49769037862705,308.0514070307997,235.13880465919019,131.48291823915164,103.45995148861606,145.85533090585977,,,,
,               October,172.43147351248658,106.76816918724285,169.82112432159292,154.73665810017266,123.89400382585298,17.728765179624126,289.8603979082458,208.3859023962886,141.10282231733441,103.65783192261377,147.54887736404126,,,,
,               November,184.37405516391158,101.82981692472163,151.59126529722332,157.48810153673327,113.60369302122251,15.963775471686231,211.97792865043493,378.5890561970826,130.36935659819414,91.79279920755114,146.57905763711105,,,,
,               December,178.58664737177406,175.15539645914384,159.94420799731276,156.73353190812017,111.24422900557087,20.07573283621379,217.7249227363382,307.4593558867742,126.23377300890684,71.45499013136528,144.88368151687828,,,,

,2016       January,211.56165539134653,166.04799459767779,195.73119447094834,179.60857763403894,105.50043695034198,30.54509766294506,225.6894148989767,203.82603621231763,118.93768381467066,117.23089442695905,159.21765476361398,,,,
,               February,210.92882803436495,107.17320864152953,165.28564693880818,176.87122040062619,107.13774925079971,28.710265060961568,260.13979405152065,199.02758590198215,120.67555146509825,190.22641285188004,157.96472382073142,,,,
,               March,201.26783690407186,157.28125949502214,196.589448089569,186.62357949272385,119.60316019098863,27.924382169666387,323.6109143869019,198.83753477611072,132.99723443797026,174.6726597837276,168.17311580482962,,,,
,               April,155.04733046312012,105.38504011802215,132.97607238204864,137.37720630471267,98.86165936113885,24.123135446901106,248.99695601340235,170.45036111855532,105.69872715957594,98.6162014255183,125.83539203687013,,,,
,               May,172.71097048432244,99.0691418291959,158.4719905677739,154.28265781154226,96.7900785183187,22.505342307759808,260.7598802103843,232.8941122209558,113.16103628436437,144.67079715412595,139.86901510055932,,,,
,               June,197.79958141946975,134.9,175.36155507732585,172.86066308777785,130.5299600319917,16.432660688976657,292.77489009900506,215.87697613463789,143.24446697715604,139.945172898984,161.05536259616153,,,,
,               July,195.83131675640504,176.75045838672673,188.9981689568977,171.97876198116575,115.51870339828729,14.36475799731337,296.4944316431585,322.19509557642607,139.21703982813818,222.6443713510519,159.57802462924855,,,,
,               August,181.28158285062807,135.2,189.4519921476507,165.97563733410738,116.84211145887527,20.177746378516233,301.7362779692278,252.783203205117,139.43740413640455,160.43393202109343,155.26824577383928,,,,
,               September,176.32626541903946,111.83731326698113,187.68411189612016,170.14306595009376,123.42210834103362,20.109287249321618,347.45870786239306,227.25917979917486,150.32413294688035,195.3316610124947,161.12935607503562,,,,
,               October,182.03249192631748,161.08295543643888,191.38895692605539,167.34034464919858,116.9943669778819,27.4430669087688,310.5238216542852,171.80834516363137,133.7439862756618,141.97355272186965,154.58698219989378,,,,
